Frame_Width (mm),Lens_Height (mm),Temple_Length (mm),Lens_Thickness (mm),Weight (g),Price ($)
135,48,146,1.177898394,31.54279895,254.5702985
134,32,147,4.145773616,43.81115099,367.734261
127,47,137,4.650856346,18.31168384,299.3673134
133,34,136,2.947372663,38.70495136,207.0032501
142,43,138,4.218167204,22.52445354,267.1409044
147,33,139,3.825642131,17.19280009,200.6595109
144,36,141,4.182541169,38.1874246,296.0356826
149,49,144,4.067100798,19.24942885,219.8096356
127,41,144,1.821471535,41.14525406,269.714606
140,31,133,2.998236041,22.09468869,288.4408444
135,40,133,4.841656749,16.69792071,238.4277256
132,43,130,2.374131778,18.47541127,421.7910384
137,45,141,4.881948363,44.44445871,291.2393136
134,49,131,3.332646846,27.98388757,307.8631956
140,35,144,2.846445671,25.57933245,279.4444771
143,33,146,3.63102986,32.19195869,336.7209776
145,44,136,4.263356685,37.15263991,305.0291717
144,30,135,2.576832619,16.29857859,169.1433222
147,36,141,1.1318167,46.43659797,335.4010869
147,41,148,3.835225192,48.54684777,327.54737
147,39,130,4.824667138,29.60573857,296.0189613
132,34,143,3.499946601,29.44201159,319.3614013
128,41,133,1.753657914,45.74959724,286.9792931
148,47,134,1.992970129,30.02591293,299.6894653
134,39,130,4.639002875,44.96664772,359.4822629
132,35,130,1.054248382,15.99179306,218.5077322
120,41,135,3.194986662,32.13777131,195.2888485
144,36,134,1.634710581,48.33501657,212.8666136
126,47,131,2.131057741,23.84816306,231.0884388
128,31,134,2.227926598,24.31541872,231.766189
143,39,138,1.877130991,37.0543046,319.4823546
120,44,148,4.169408251,47.41668092,478.4536038
131,41,144,2.328836696,21.95597845,207.0237477
127,46,142,2.381939965,47.2577859,230.3852798
143,33,141,2.812027255,38.20513104,177.8477179
130,36,134,4.609181155,49.756656,291.7354742
138,38,131,3.752692128,40.77605963,271.8503881
136,48,133,1.246998817,38.37301893,294.2788906
127,36,147,1.157047684,43.52161102,396.466166
122,31,139,3.265556918,21.12991118,285.3417621
122,35,142,4.548242247,48.10949646,364.6532418
120,47,141,2.293005904,20.79584281,264.6623934
146,35,131,1.991087316,15.89846295,147.6920716
124,42,144,3.992764181,39.42498944,290.624983
129,48,143,3.408365466,21.46083991,154.3852794
126,31,139,3.260109369,41.55636129,336.4002887
145,41,137,1.597204797,42.82636423,211.8916575
128,44,144,1.703845275,23.28447342,322.6650429
147,43,142,2.127151104,18.03521157,311.8923774
126,35,137,1.827355739,32.52873382,360.3560727
128,47,143,4.88577898,46.15764787,320.7570735
127,34,130,1.074444065,44.65518854,263.1140631
131,47,142,3.504225354,19.09788598,341.2023188
121,32,137,3.0703953,48.76741426,353.2578132
120,32,147,2.293004944,24.23822184,274.5166243
135,39,138,4.550354848,27.2286912,327.3001092
142,48,142,3.68065031,20.21675851,222.8296078
142,32,132,4.993417405,28.22310379,217.2032099
149,41,147,1.674623837,37.24743872,265.6794355
143,45,139,1.351471343,32.7127391,222.8331069
124,46,134,1.55758907,43.96388198,239.6116722
122,36,135,2.07716387,37.44552839,224.4659852
131,42,137,2.667147966,24.2240565,224.5738689
127,31,136,4.45041314,34.51033111,374.4066129
141,33,147,2.134367065,17.24668941,213.2188789
146,39,143,4.66097324,35.32766963,245.0375024
122,36,144,2.851630754,28.63823403,235.129793
120,46,139,3.588280074,18.44394722,236.500062
122,49,141,2.057630856,25.76123835,69.84563093
124,35,136,1.624055264,46.43304474,279.742762
134,48,136,4.477827763,35.51132816,294.3000105
133,34,140,1.438024722,46.61426971,290.7000201
122,39,142,4.096085223,29.37813954,268.8681697
120,38,144,3.323937224,49.26180098,399.428474
124,42,147,4.444551127,27.60066687,331.604735
145,48,136,3.871273648,41.48816153,257.0458014
142,35,135,2.126656408,25.68910792,219.1098435
133,33,140,3.297710389,18.7096692,219.0407666
126,32,137,1.052294478,44.15698089,213.7729738
146,32,149,2.900873369,41.69035344,327.5745247
128,33,130,1.344054542,43.72201618,184.7721774
134,34,137,2.715779991,25.48930861,232.4600159
134,37,137,1.438447232,39.6281569,241.2935626
145,45,148,4.821919228,22.69729967,254.2536791
129,32,132,3.09227183,15.39590377,320.0336073
147,41,134,4.652871941,45.32710715,375.0264478
132,37,132,1.089464892,33.32339205,294.6652329
138,42,144,3.550613136,49.42786681,310.1162438
126,33,143,2.227818008,28.47624932,281.1428269
136,43,144,2.727315984,48.49055524,287.5809473
139,43,146,4.492349581,36.52700422,250.1178144
148,42,147,4.920084379,32.92717751,303.879631
123,35,131,1.985967818,25.59833611,205.4411378
149,46,141,4.793013141,43.88467194,316.170677
124,33,145,3.754907796,44.00781612,295.2512208
142,37,133,4.805655657,29.59253363,352.4705127
126,46,131,3.249467994,40.45525997,336.8711089
132,32,143,4.84302514,30.65332775,381.3891783
134,46,140,4.569821833,40.88807531,328.2541061
130,38,142,1.514366965,49.79665549,296.6124051
148,31,136,2.243159708,24.18737098,185.8397062
123,42,139,1.972252766,37.191836,328.3985488
132,49,130,3.288397304,28.29572878,304.7538879
126,31,133,4.211197726,34.19300473,234.4339802
146,49,147,4.037645788,45.59515481,321.4517923
138,40,135,3.906996529,27.16515543,305.9799139
141,44,131,2.501059503,17.53359057,167.7608677
147,40,132,1.558547527,42.96280148,304.1525765
121,32,143,1.842334215,34.42586993,322.0806388
129,32,137,3.966709839,30.72903315,173.4885751
132,41,145,1.590137356,21.41665664,241.1048395
149,34,148,1.89178682,18.24984561,153.1029737
144,49,147,2.698210611,24.75574459,211.3927821
140,36,135,1.288449723,40.16164922,215.1152767
125,36,143,1.850768243,29.4119825,222.0175417
147,42,132,1.599072509,34.95796556,277.2339588
147,38,145,4.805287132,17.87159438,312.106621
131,42,130,1.766103542,19.31350652,207.6611921
131,41,141,4.447078841,15.39570408,361.3936882
139,42,143,1.459192765,38.56495577,282.4338142
149,39,148,4.478692529,24.25590829,256.9194536
149,30,148,3.397735145,48.8424305,364.7499801
130,37,138,4.398823693,25.79595336,317.0222773
145,45,136,4.469394754,27.72663136,335.3777323
142,42,143,3.385494123,31.4321441,207.7469314
147,32,134,4.670776614,26.16992621,306.4000188
144,32,147,3.341793166,43.61051277,360.3419478
126,34,138,3.850260312,45.66723835,326.7971059
149,40,136,2.664321909,15.38626277,259.2772331
120,36,138,4.656270778,37.913157,273.0793366
120,39,133,4.296650156,39.0130898,295.1384698
144,39,146,1.666852446,48.64987068,362.7756648
146,49,141,3.305551401,27.9639719,263.0423938
149,31,135,4.587309316,21.83479889,267.0609037
144,32,147,4.172257975,33.22033743,310.3126718
139,37,137,4.850211123,30.66444896,350.860141
132,40,144,1.925206748,42.7106013,206.012729
128,42,132,2.469838533,46.63914044,274.4924219
122,36,131,3.028767552,18.03478097,335.6213714
126,42,138,1.93067668,44.63028175,247.1874287
125,31,137,2.576181021,46.81398074,263.9238235
127,35,133,3.150156818,47.34475574,263.6556315
146,38,131,1.765356812,41.75084506,274.7772563
128,49,143,2.026751275,40.97288963,270.9088284
149,31,131,1.499369999,15.52138713,277.234404
124,47,131,3.85352564,47.20670679,243.5463824
120,45,136,2.446207706,27.30268248,227.4211404
138,41,141,1.881064613,16.43926638,258.4403117
129,36,135,3.029296597,29.45427585,186.1574566
131,36,147,1.272997223,40.64984216,232.6474684
143,46,133,4.693626425,30.46843206,285.9791377
134,42,148,2.177870085,41.53038813,341.5359917
146,40,142,4.545857393,32.82932994,352.1647455
141,35,149,2.990480261,25.47995018,430.7617357
143,43,131,4.400601991,22.10193205,309.1482484
128,35,137,1.988257763,29.73861534,269.5616447
139,35,148,1.701082409,16.25312081,264.3101886
136,31,138,4.397647213,29.78903667,212.3828423
149,49,133,1.851695529,17.40170339,174.4374391
136,44,145,3.984781397,45.69516477,329.6339835
145,46,148,2.378335179,35.14183611,253.7127397
139,37,139,3.992774906,37.6115037,303.4884736
131,34,135,4.630585064,25.11023967,232.1366826
149,46,145,4.926553725,22.90373768,269.8735118
126,49,139,2.439237909,39.77668372,267.4743029
121,30,142,2.470103339,38.50479191,324.504412
122,47,138,4.925550947,19.29374597,286.622687
136,44,136,4.446112521,23.35244841,182.7937179
124,34,133,1.180367888,48.13015253,249.4337095
136,36,148,3.293799945,25.64620989,358.1624315
143,47,133,1.724979086,15.90410286,174.3111966
136,35,148,4.976050144,17.23237178,355.8306898
146,34,148,1.555692049,42.14231789,223.6761955
136,48,141,3.23739045,41.50044896,290.4055368
121,39,142,3.66079348,28.36395443,281.4772709
121,44,133,4.748258619,20.36202718,270.4348498
147,39,139,4.389033247,32.43368259,265.708083
141,45,136,1.983019085,26.61610293,142.0045102
142,41,134,3.290495805,28.08889218,255.4013158
124,47,146,4.814295832,24.13448739,294.2363665
120,30,147,3.942867388,17.20002694,203.3976637
120,45,140,3.753345394,42.69057469,265.4494721
138,35,144,4.019604317,36.63772887,370.5955907
149,32,136,2.290024756,44.21222933,369.6970584
121,31,147,3.917009078,32.61206921,328.286347
140,31,135,1.931419006,49.47453237,373.330952
131,42,147,2.712411084,48.68837183,225.4296181
145,38,145,4.559715269,24.51242205,334.1023835
125,45,131,1.075884586,28.54419232,197.743763
142,34,148,2.657274601,41.34482945,305.025249
123,36,130,2.067287067,42.18112117,260.2682465
142,42,140,1.794358466,46.87446977,287.682459
130,49,149,4.354301686,37.84218418,314.2030622
143,42,134,3.785994291,31.62923419,395.7937011
146,36,145,1.450530882,28.21780424,263.7710393
136,39,130,2.977853306,29.6712493,316.9121547
125,44,148,2.867623087,44.76418029,339.9056969
143,35,143,1.570111176,49.30030953,239.0146162
124,34,132,4.199050804,16.81682147,196.0842464
139,31,131,2.466695886,35.30856321,273.4644757
121,44,134,4.047751101,33.20188902,259.396632
125,45,146,1.76825046,28.16497962,314.578361
141,48,147,2.260293846,44.80517551,372.6890116
130,38,130,1.380683791,35.15100559,300.8536515
135,48,144,1.573917079,25.95906218,301.9512156
135,36,138,4.532733961,30.54364134,293.255149
120,33,134,1.436450577,27.48812451,295.49624
128,32,142,1.382924829,30.05299627,242.0745804
147,49,148,4.761509243,17.49430266,359.5590092
146,40,139,3.583613839,18.91705357,225.637094
125,30,149,1.403663934,36.82920892,385.2775392
135,35,143,4.886866956,38.94239321,250.8001462
148,40,141,1.588400042,37.28171453,277.3103491
122,30,140,4.065382901,41.70763891,375.0966717
139,36,136,1.139405447,48.02369075,171.2458474
147,35,146,3.498167189,45.12164074,298.9250635
146,43,147,3.186815488,29.64783528,257.0231529
123,31,136,1.832015242,22.61400979,113.4425067
138,33,149,3.572584571,25.91482741,237.5668051
145,40,135,3.468211973,35.57095208,296.0671722
122,44,140,4.193406862,44.96729171,249.3044028
138,47,141,4.503496234,39.56034432,407.9715656
139,30,145,3.040419763,34.00545867,319.1751969
126,32,148,2.961180774,36.06574258,277.9057249
139,32,148,3.486383084,33.48914248,327.6908639
128,36,140,3.916830357,49.0069629,391.5053695
120,30,145,2.42468469,43.56320083,321.8874851
127,40,141,3.018567533,42.34470254,248.3071843
126,35,137,3.340416743,33.10651454,297.6092362
137,49,132,4.953512335,26.61333101,289.846984
127,32,131,3.350848786,15.6829933,233.5461321
120,48,135,1.896746203,16.52005085,212.1608468
130,31,145,3.351959433,16.05832738,188.6299768
147,47,149,4.277998332,49.31668684,443.7265649
144,41,144,4.42961472,19.00688185,371.2872877
144,39,143,4.201001818,19.97415985,242.2166321
137,34,131,4.552837661,31.94524956,350.6544196
142,38,149,2.339065368,31.84904084,319.7884861
149,31,147,3.030282484,47.19908185,285.404733
129,31,143,4.118364384,17.57364561,262.0816868
122,35,147,2.057799803,48.50337078,286.4410547
126,39,131,2.486325751,22.57365834,204.66247
147,47,130,4.324622618,48.95538333,335.7097356
135,41,149,4.080342598,33.94634346,307.6286671
145,33,131,4.884798272,37.82044611,186.5757684
135,46,138,4.983896234,26.05050704,333.4093096
144,44,138,1.962978188,36.41383829,216.9830246
139,35,145,4.601799945,39.8790423,330.7110055
147,45,140,1.378062005,15.36295586,366.841071
136,46,135,3.839200836,16.19799488,179.7504199
121,32,141,1.880397551,49.52669542,316.8372941
120,39,132,2.201244628,31.01449867,207.2790366
135,34,141,4.785284711,47.75361339,332.9807265
149,43,130,2.052604947,40.54641659,223.5173093
131,42,138,3.692711477,28.05389078,335.2994207
124,35,149,1.712514031,20.27947016,194.348383
124,41,135,1.37355991,49.23531066,326.1952263
146,37,140,2.357268101,35.457369,381.5767222
142,34,132,3.496784403,21.73248182,378.0297399
128,44,133,1.991780575,38.85785431,130.2827197
128,45,139,2.200675195,18.22169784,262.7611993
122,30,148,3.834919274,45.38130479,364.2555888
138,45,135,1.411184092,18.15480715,214.670499
135,34,130,2.787620367,23.26680254,276.2882284
135,32,137,4.76693812,18.20007819,227.3554158
122,49,137,2.58788665,18.63255259,291.4174448
139,44,135,2.736804112,33.33419538,282.3909649
143,42,146,3.952817214,39.04464309,437.1360449
141,45,148,4.116046088,42.59686242,384.0958379
143,40,130,4.078425559,39.32693514,197.0140809
120,31,144,4.9914681,27.72214342,217.8221821
143,35,142,1.28580435,34.50507255,298.8949954
139,35,132,4.929013139,47.4682426,292.4480171
130,43,131,4.800758468,28.56518155,289.7702612
136,40,132,4.408555601,23.83415292,250.5243034
127,37,138,2.816502303,33.17617744,190.9565017
123,37,145,4.483609487,25.40673241,317.6198801
125,30,142,1.883329649,24.16359682,235.1453181
127,36,148,4.166623342,42.25811554,339.2599054
139,35,147,1.740953212,46.17925501,380.4702831
149,37,141,4.261448014,32.5810839,302.5510628
122,48,141,3.458116533,42.29240087,293.614709
135,49,130,1.392125118,21.54812992,116.7764618
149,37,149,4.581278221,34.16750546,348.3324015
144,43,137,3.311828782,37.26699799,391.3500794
122,47,146,3.624993113,32.17324587,322.9779189
144,45,149,2.134040143,19.09080757,244.5924268
148,38,136,4.486542016,40.69350811,239.780956
137,44,138,3.180802941,44.3677362,228.2617333
133,39,146,2.684481137,37.23291892,306.3749022
137,45,139,3.137126981,20.92063506,252.2357576
121,33,133,3.813252326,17.60933539,149.5320881
141,49,136,3.780191503,25.55613679,212.5618505
122,42,136,2.430308404,16.29465391,311.0078821
135,34,137,2.54103312,44.37266537,348.9435917
148,36,137,3.248952771,39.6071154,258.1023183
128,38,145,4.697628483,34.72910314,372.1967341
123,37,141,3.981721068,46.13713762,342.4187493
120,45,144,2.561659941,18.85327249,221.8024492
123,35,137,2.348130506,40.00609125,254.0434467
120,45,138,3.094546697,20.13212724,281.0042476
133,35,132,4.479965476,17.13238994,257.4486833
140,43,145,1.034716966,19.65165776,240.4141407
135,30,144,3.841944273,48.28290317,359.8289312
139,38,133,2.178049022,30.41516846,290.5990948
143,42,149,1.833589921,16.71484937,166.3045548
127,48,145,1.048551987,35.42721269,272.3875979
126,46,139,4.586362483,21.98999231,282.5205006
122,40,140,4.64899388,15.23927436,303.5922173
136,37,134,1.245669767,41.54350281,278.8739957
120,34,140,3.087261292,20.42020776,260.3665138
135,39,142,1.610297835,47.98702653,334.7214099
131,36,144,4.034750219,35.74799541,297.8449834
146,39,135,3.661565887,18.04485379,367.1623121
138,33,145,2.188523252,22.623855,255.5882173
141,38,144,1.467841124,36.3795623,262.8543983
142,43,140,4.324882651,26.83394548,273.4644783
141,31,149,3.697009917,33.62500679,319.9804245
133,38,131,1.02727978,42.98292163,353.89556
149,30,131,3.511487124,42.74105279,283.3034274
125,39,141,4.241184111,39.42953814,319.9234119
125,39,145,3.363072238,46.01190071,345.3232905
132,49,148,2.698854707,21.97762421,253.8084517
138,32,131,3.335673514,21.2034521,248.3038302
141,35,146,3.478848227,42.97723307,288.663831
127,35,143,3.560138496,26.23112712,269.2237443
146,31,145,4.868180216,32.92638446,354.3840663
146,47,134,1.71459115,41.03832521,288.9713137
121,31,139,3.492372509,28.85763258,254.4468925
140,41,146,1.751973279,19.55568051,185.9860691
149,34,142,1.839826881,38.78100206,349.3786032
120,49,145,3.677031535,43.60057854,308.799711
147,36,138,4.66381634,15.44790493,215.6196636
134,45,133,1.636176988,34.68932407,192.3014244
120,49,145,4.849862135,31.42917823,204.6421936
124,30,140,2.277489304,24.08586023,327.8272711
147,30,136,2.565256174,20.63599985,368.8613722
148,46,146,1.614723296,21.5813059,182.3094123
135,30,142,3.463344423,40.37406145,239.793702
138,49,133,3.385681978,33.7668297,325.4839511
123,42,143,2.769078972,49.34040335,357.2186993
122,38,139,2.90436556,23.51307794,119.9834004
136,44,139,3.491903503,48.49164619,267.9995859
136,32,139,3.33398614,33.02883458,379.0681704
131,43,141,2.497053527,20.11092322,308.2907795
147,40,131,4.536457541,20.18626649,371.6207776
149,41,138,3.670642093,36.29987967,217.0433909
148,42,134,1.821625322,44.09979613,284.9941574
133,42,137,2.279611974,41.16990338,281.4380392
140,30,143,4.151512407,37.94695699,390.7980215
125,39,136,1.418101524,21.02378219,196.5404227
122,32,136,4.000927995,18.7919002,204.4034091
147,33,138,2.435369765,15.00868083,290.5258845
128,45,132,3.206764184,18.56278514,289.7437389
124,37,143,2.122232469,41.82283126,290.2933966
143,45,146,4.945826287,46.33369456,323.8258551
148,46,147,4.623361169,23.41226606,370.3349749
136,48,141,4.713799348,42.82129842,314.3764931
133,44,143,1.739102072,21.9597068,249.2986114
140,45,142,4.366760384,23.72450892,330.7754628
122,44,143,3.141588404,22.8455333,294.5726326
147,31,138,3.831436801,16.81054682,262.968634
120,40,148,1.870016267,21.79214438,238.5442162
139,30,131,3.847938584,28.07401706,294.1230647
148,44,140,4.657068978,29.19144004,292.1291954
140,48,146,2.069925543,25.83132449,301.4825551
142,33,131,1.933439406,33.015385,280.8442052
120,40,148,1.417658194,28.22993814,193.8852492
122,34,136,2.067226701,48.96276262,392.6746368
137,32,147,3.143169047,43.2572659,222.3711806
144,42,142,4.330865166,47.58420711,353.7380067
129,39,134,2.115201051,34.50994312,250.2063858
141,40,147,3.484577556,38.74188701,367.741313
145,47,145,2.918362797,20.83367313,172.0140875
122,31,144,2.154316162,41.3475015,299.0446235
127,36,137,3.041436325,23.25898889,316.4987326
133,38,144,1.671849586,20.10415247,255.3987375
143,39,130,3.558310239,16.46507721,238.1353652
137,47,146,1.462650885,31.52805874,229.5295571
134,36,144,3.923922101,25.03762409,283.6963222
141,36,143,1.710850714,49.53545104,259.9843528
142,32,143,4.992636613,23.74420057,192.137314
121,41,139,4.294690379,45.32901481,297.3797821
146,36,131,2.375361215,26.07535692,312.5667835
129,46,135,2.704819089,41.21943983,252.8883959
121,30,146,2.036764084,38.09444585,207.0022951
145,34,134,4.068458245,34.66242441,248.7490186
136,45,134,2.52290788,29.58887302,263.8564368
127,44,144,4.020742039,38.48867545,270.4469868
120,31,144,1.073606219,29.25474226,337.3092065
128,38,149,1.542483838,34.1835082,218.0531105
130,36,140,2.459897339,35.64306079,263.8281282
141,33,134,1.435634134,24.3574327,197.7196226
135,49,130,3.404511969,26.89077671,211.3287984
126,47,140,1.203328394,15.63175222,207.4776094
148,33,140,4.439051978,44.82556477,266.1942559
129,42,135,4.045231995,41.45941005,157.5004121
142,30,137,1.865025917,21.42356587,131.7653677
145,32,131,2.935167625,27.67169575,230.8833782
122,45,144,2.807252314,29.73743191,302.9773173
137,33,138,3.899458461,26.70325422,284.1025325
144,45,144,2.606035602,42.93849823,327.0343816
143,48,137,1.131741191,40.38972471,274.3463265
132,30,145,2.094943435,41.85055555,272.1462226
147,34,143,2.864783221,46.64455178,282.2806122
145,48,144,4.897968865,35.83029396,283.712047
126,40,149,4.524634668,36.50870152,307.6550288
144,42,142,1.725624576,40.26769419,279.5716028
123,49,138,3.893103762,38.84314081,296.203984
132,34,130,4.747301892,45.44345564,209.490143
139,33,135,1.035170452,41.9569372,264.6394298
120,33,137,3.883782695,19.21605158,281.0117059
127,33,149,2.837333982,47.49255154,222.0505307
133,33,147,3.720944785,38.90847516,242.0495655
135,49,147,3.422357094,19.4501074,252.2987726
133,47,146,4.938661978,42.01908075,274.5202931
131,47,145,2.155261625,27.54443854,261.5976564
138,45,142,4.144571927,43.20922692,392.7706386
142,38,133,1.938559553,48.439208,239.1780253
134,47,133,2.74243191,23.93347126,259.4897143
147,31,143,4.901523496,45.00938661,278.4742731
121,33,134,4.064545184,42.07464796,289.7303829
121,41,145,2.263285025,38.49147151,270.7393211
142,36,143,3.477477132,28.47221906,313.4251501
141,44,143,1.198768334,18.84517334,195.8740195
138,36,143,2.065579666,31.93638898,168.8276239
144,46,143,3.873561958,18.69833204,223.3546249
145,45,148,3.280374278,32.50515294,404.54436
149,48,132,2.878691412,43.71026448,249.0309626
148,38,146,3.76350424,49.9173347,265.3482833
141,43,143,2.593835563,21.9303049,269.9753943
145,46,139,1.104624578,22.27503148,180.6544883
145,34,142,2.764106494,43.38091662,309.7107631
141,31,133,4.608516769,31.41705213,296.3170736
136,49,140,4.426460513,47.05316086,253.8057156
139,45,144,2.635988742,41.91486832,268.8658906
129,43,144,1.088885763,40.77497177,249.7247128
125,43,131,3.54522909,18.5683798,259.1807353
134,30,140,3.964777711,16.25564478,261.8207024
141,32,131,2.176974304,26.08669869,173.4627473
130,36,134,2.906655998,22.60544263,207.5767145
147,44,142,4.967427181,39.93081101,390.8976769
124,48,130,3.305372052,30.77568035,209.810298
120,49,136,2.404299623,33.31012311,289.0576669
127,31,136,3.509955507,43.4809519,324.1019312
140,48,139,1.720089227,31.74766386,207.199952
147,38,135,1.797009493,34.07242123,225.245097
131,48,149,4.699698859,44.48120932,346.7436639
131,34,141,1.956800165,30.09675333,205.6839837
124,47,142,2.243157517,17.90943478,262.0385871
126,45,140,3.175108968,33.25968234,235.1783077
123,33,147,4.598770481,35.27765895,305.7592685
125,41,131,4.125795559,32.91288815,306.1509515
132,36,145,1.175135683,24.0317331,175.8804992
139,43,131,3.772118676,22.82915239,216.0248227
149,41,148,3.016245931,27.94147302,277.0589064
134,32,135,2.902211368,20.81800585,301.4791977
122,34,130,3.766233467,38.31082877,367.1167031
142,46,140,1.784928185,36.51362154,212.7031126
127,39,147,4.925954655,37.13384655,359.4326459
139,39,139,3.581226121,22.86791226,190.1925079
135,40,147,2.462624698,23.6285155,172.9391995
132,46,130,3.400808832,42.55865907,192.1482679
137,34,148,1.865883453,39.15391204,192.7660494
147,42,145,3.535367459,45.63129472,327.1927609
129,39,136,1.112868563,29.12270012,186.8414892
149,38,144,2.364727646,34.15647412,186.5106311
138,46,130,3.990067587,40.85721971,301.0619996
136,30,138,4.231911396,49.09542392,278.6512935
143,33,131,2.011677653,49.63711345,330.1179342
138,33,146,3.157637845,49.97113944,360.8963336
147,47,139,3.113971559,46.16842691,286.8299514
145,38,135,2.685824186,37.38777867,314.6059919
142,47,134,1.913731931,15.24398328,186.038799
145,43,137,3.812912933,39.48403171,211.0909852
124,44,137,2.009446727,23.35098306,169.5528387
145,35,134,4.644102949,17.00085016,169.8258078
